Model,Params,MSE,MAE,RMSE,R2,feature_subset
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",0.37738659490184373,0.46641702549797537,0.6143179916800775,0.8040078759698945,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",0.2142390614055395,0.34727141164858677,0.46285965627341025,0.888736989436498,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.6502721303668146,0.5967405726046273,0.8063945252584584,0.662287379175929,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",0.3763988397935421,0.46553264020330026,0.6135135204651501,0.8045208571523554,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.20977209667766275,0.3452092714635205,0.45800883908246004,0.8910568649085239,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.6479826493407076,0.5963380441317503,0.8049736948128849,0.6634763992823535,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",0.37790977875724185,0.467050672157151,0.6147436691477529,0.8037361654309858,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.20961034696009134,0.3463484541963896,0.457832225777185,0.891140868079639,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
RandomForest,"{'n_estimators': 50, 'max_depth': 10}",0.6225452300988634,0.5823586742095564,0.7890153547928351,0.676687080038913,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",0.3561393818926432,0.4499205313567318,0.5967741464680278,0.8150424131358911,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",0.2055656028063608,0.33891537109668335,0.45339343048434305,0.8932414673286775,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.622119502558079,0.581333181889997,0.788745524588304,0.6769081775715324,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",0.3558364838613484,0.4492916972141315,0.5965203130333019,0.8151997203357758,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.20448563165749292,0.33840021917822777,0.4522008753391494,0.8938023400311456,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.6219844312012623,0.5808870830248688,0.7886598957733697,0.6769783255907672,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
