Model,Params,MSE,MAE,RMSE,R2,feature_subset
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",13.012691450817027,2.9501401831840246,3.6073108336844255,-5.758017034116873,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",5.141494458883904,1.761276572059107,2.2674863745751384,-1.6701860460829816,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 32}",2.4952943049062397,1.3360039987011418,1.5796500577362822,-0.29590726725733574,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 64}",2.1524040185224296,1.2329485891964236,1.4671073643474186,-0.11783047161722182,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",5.1542608205691876,1.6858778575038653,2.2702997204266198,-1.6768161341058114,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 64}",6.557078572932489,2.0167835106586187,2.5606793186442713,-2.4053561369226384,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 32}",2.533886059698575,1.3562214342410353,1.5918184757372855,-0.3159495265584804,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 64}",2.196668838567646,1.2418379573166531,1.482116337730492,-0.14081898317982455,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 32}",2.465756460398376,1.300055200038252,1.570272734399466,-0.28056706979782375,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 64}",20.44125306862199,3.9061188241943836,4.521200401289683,-9.615969567753616,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 32}",2.5614462859372042,1.3560394702574634,1.6004519005384712,-0.33026266685606864,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 64}",2.0225918112455186,1.1750829105749927,1.4221785440814099,-0.05041374147116162,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",2.3368313766581466,1.2880686389789426,1.5286698062885087,-0.21361105878853248,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",6.452766226325005,1.9254287868095536,2.5402295617374833,-2.3511825158922393,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 32}",2.2482110755537557,1.2601877341694587,1.4994035732763062,-0.16758695173153781,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 64}",2.7352251580590803,1.3591897228978715,1.6538516130714631,-0.4205130645088555,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",2.4221504039916777,1.3131930696353757,1.556325931156992,-0.2579206808397094,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 64}",3.28248569982993,1.4374358490149608,1.8117631467247395,-0.7047276005536043,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 32}",2.5032976106490272,1.3318068966711307,1.5821812824859949,-0.3000637076634909,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 64}",2.58019980937335,1.350042291969623,1.6063000371578624,-0.34000213015697,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 32}",13.153218704995837,2.8220515772499484,3.626736646766048,-5.830998521543014,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 64}",36.39709853751025,5.87125738238228,6.033000790445022,-17.902485534111452,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 32}",2.17726355262541,1.1320055416330816,1.4755553370258296,-0.1307410332457004,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 64}",13.160989980666452,3.3523704943791874,3.627807875379628,-5.835034459347067,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",2.3050680443337446,1.2650183720408745,1.5182450541114054,-0.19711507548485185,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",6.683181680009146,2.0831129714003147,2.5851850378665637,-2.470846581301507,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 32}",2.507267722042516,1.3315849217443132,1.583435417704971,-0.3021255471012385,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
