Model,Params,MSE,MAE,RMSE,R2,feature_subset
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 64}",2.3229299967559136,1.254405448860878,1.5241161362428761,-0.20639150989412425,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",2.3720133023557977,1.2850053524071317,1.5401341832307331,-0.23188245591313206,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 64}",2.859079648564967,1.3982704477811438,1.690881323028014,-0.4848357113459243,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 32}",2.248911326366678,1.243110065832935,1.4996370648815924,-0.1679506203038521,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 64}",2.3729836158985123,1.2629040936736085,1.5404491604394195,-0.23238637898507175,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 32}",4.292331155605566,1.5360373661845843,2.0717941875595574,-1.22918119401284,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 10, 'batch_size': 64}",19.269858012742237,3.6466937335835636,4.389744640949202,-9.007616732274787,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 32}",2.6967438589245076,1.3148371985337806,1.6421765614343993,-0.40052816929872126,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 2, 'epochs': 30, 'batch_size': 64}",3.767199036692668,1.4849157704497284,1.9409273651254104,-0.9564588430535057,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32}",4.8396207172084305,1.6856243049680704,2.199913797676725,-1.513410801230207,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64}",2.8925574820318385,1.428796554832767,1.7007520342577394,-0.502222104444505,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 32}",2.4477594266317535,1.3188551820192054,1.5645316956302782,-0.2712204821823325,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 5, 'epochs': 30, 'batch_size': 64}",9.17169401335101,2.4076937126181517,3.0284804792752107,-3.763231696394536,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",2.1440860889743494,1.1995777450803156,1.464269814267285,-0.11351063434243724,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 64}",3.1488807181760468,1.4685653595108228,1.7745085849823456,-0.6353411292557603,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 32}",2.1505902656127462,1.2235155144149081,1.4664890949518672,-0.11688851636487074,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
LSTM,"{'units': 10, 'epochs': 30, 'batch_size': 64}",2.932310597205636,1.4218175114004439,1.7123990765022141,-0.5228675051688005,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
