,Model,Params,MSE,MAE,RMSE,R2,feature_subset
158,LSTM,"{'units': 10, 'epochs': 10, 'batch_size': 32}",1.7477195408962312,1.0387689140286407,1.3220134420255458,0.09233854711170708,"['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support']"
134,LinearRegression,{'fit_intercept': True},1.7705026608046868,1.1048090793468652,1.3306023676533447,0.08050635136545337,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
53,RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.20358035605457617,0.3391465708834751,0.4511987988177453,0.8942724862701619,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
109,XGBoost,"{'n_estimators': 50, 'max_depth': 30}",0.39213880294532855,0.42187057335100403,0.6262098713253637,0.7963464576057139,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
