Model,Params,MSE_val,MAE_train,MAE_val,RMSE_train,RMSE_val,R2_train,R2_val,feature_subset
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",0.8530072062829018,1.8640226759717307,2.079501514844547,2.2180389556082054,0.9235838923903458,-4.9687928392541,-6.298863155126992,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",0.8530072062829018,2.396464193515492,2.464941954662604,2.6864995863345116,0.9235838923903458,-7.771672892289718,-8.155407048036574,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",0.8530072062829018,3.503897904588765,3.480659051803904,3.889557001139835,0.9235838923903458,-13.806952518452993,-14.84297810486253,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",0.8530072062829018,2.652543200036541,2.700361814462355,2.9747801294461986,0.9235838923903458,-8.476623610742882,-8.703128473802522,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",0.7756403653550247,1.6032136965837658,1.813527707362506,1.9394662744654028,0.8807044710656491,-3.6012779736453906,-4.9890791983593274,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.5}",0.7756403653550247,1.9516169630420073,2.0733005288893636,2.249614827772264,0.8807044710656491,-5.093955991685982,-6.027927449563773,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.2}",0.7756403653550247,2.782760668505732,2.7262807830821325,3.170311547275545,0.8807044710656491,-9.352030031063917,-10.106367841671657,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.5}",0.7756403653550247,2.397804405486006,2.566173224495308,2.773342225001452,0.8807044710656491,-6.980007763866126,-7.976477614992258,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",0.7756403653550247,2.2842368389929,2.323071528972905,2.66374006756014,0.8807044710656491,-6.906288363419549,-8.0464224760385,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",0.7756403653550247,3.422315317930282,3.4194464307984784,3.631588744255482,0.8807044710656491,-13.005666898626037,-14.062501712198161,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",0.7756403653550247,3.5323488719389182,3.5676727442348253,3.9196687677147994,0.8807044710656491,-13.634991476602499,-14.574690679836333,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",0.7756403653550247,3.8608618526203937,3.906752255529567,4.126146279879717,0.8807044710656491,-14.420374474009192,-15.621099751737969,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",0.7756403653550247,2.5568711872941527,2.5436611599884915,2.783769459137499,0.8807044710656491,-8.47655686249779,-9.040524797425956,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.5}",0.7756403653550247,2.5841688371449925,2.5422214597840322,2.8150471765580423,0.8807044710656491,-8.584005776254285,-9.072011865216721,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.2}",0.7756403653550247,2.7584165271771117,2.929542293641151,3.1273427609294,0.8807044710656491,-9.370632860876576,-11.35254282686463,"['days_since_election', 'seats']"
LSTM,"{'units': 1, 'epochs': 10, 'batch_size': 64, 'dropout_rate': 0.5}",0.7756403653550247,3.6941825872332714,3.692417692365667,3.8969119656952835,0.8807044710656491,-14.250515390667541,-15.22173026654485,"['days_since_election', 'seats']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.2}",0.678897146221926,1.8594907558654523,1.991620878434119,2.1506239595669236,0.8239521504443847,-5.3622347083874216,-5.855791975495381,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 32, 'dropout_rate': 0.5}",0.678897146221926,2.808456027803661,2.874418683868464,3.0758584251158014,0.8239521504443847,-9.350071401195452,-10.74957296626207,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.2}",0.678897146221926,2.1392752075703036,2.2763195694875846,2.4377969469093905,0.8239521504443847,-6.356152870263667,-6.898224713683767,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 5, 'batch_size': 64, 'dropout_rate': 0.5}",0.678897146221926,2.5944583265359182,2.688305925568917,2.8720253461002545,0.8239521504443847,-7.842796583374952,-8.541722518183846,"['days_since_election', 'seats', 'state_market']"
LSTM,"{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2}",0.6244988867549158,1.2436712675347175,1.5720749524392792,1.5430623640899903,0.7902524196450877,-2.062399590653029,-3.52795646636054,"['days_since_election', 'seats', 'state_market']"
